Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h),Precipitation (mm)
 Apr ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]", Total 
 1 ,"[36.0, 27.9, 22.0]","[18.0, 12.6, 7.0]","[70.0, 43.9, 17.0]","[13.0, 5.6, 0.0]", 0.00 
 2 ,"[38.0, 28.0, 18.0]","[18.0, 13.8, 8.0]","[70.0, 47.0, 18.0]","[11.0, 3.0, 0.0]", 0.00 
 3 ,"[38.0, 28.3, 20.0]","[16.0, 12.5, 6.0]","[69.0, 44.6, 13.0]","[7.0, 4.0, 0.0]", 0.00 
 4 ,"[37.0, 28.4, 20.0]","[16.0, 12.1, 9.0]","[66.0, 41.9, 18.0]","[17.0, 6.5, 0.0]", 0.00 
 5 ,"[38.0, 28.5, 19.0]","[15.0, 11.8, 6.0]","[72.0, 41.5, 15.0]","[15.0, 5.0, 0.0]", 0.00 
 6 ,"[38.0, 28.8, 20.0]","[16.0, 12.3, 8.0]","[71.0, 41.9, 15.0]","[15.0, 5.0, 0.0]", 0.00 
 7 ,"[39.0, 29.5, 20.0]","[17.0, 13.0, 9.0]","[67.0, 42.5, 16.0]","[15.0, 4.6, 0.0]", 0.00 
 8 ,"[41.0, 30.4, 21.0]","[17.0, 12.8, 8.0]","[65.0, 41.1, 14.0]","[11.0, 4.6, 0.0]", 0.00 
 9 ,"[41.0, 31.0, 21.0]","[17.0, 13.1, 7.0]","[70.0, 39.9, 13.0]","[13.0, 3.8, 0.0]", 0.00 
 10 ,"[41.0, 31.8, 24.0]","[20.0, 14.6, 9.0]","[71.0, 40.5, 15.0]","[11.0, 3.6, 0.0]", 0.00 
 11 ,"[42.0, 31.5, 23.0]","[18.0, 14.5, 10.0]","[67.0, 41.1, 15.0]","[15.0, 5.8, 0.0]", 0.00 
 12 ,"[38.0, 30.4, 23.0]","[19.0, 14.5, 8.0]","[72.0, 43.1, 20.0]","[15.0, 4.6, 0.0]", 0.00 
 13 ,"[40.0, 31.1, 22.0]","[19.0, 15.0, 9.0]","[76.0, 42.5, 16.0]","[15.0, 6.0, 0.0]", 0.00 
 14 ,"[38.0, 31.4, 27.0]","[15.0, 13.3, 11.0]","[48.0, 35.0, 19.0]","[17.0, 10.1, 0.0]", 0.00 
 15 ,"[38.0, 30.9, 25.0]","[18.0, 15.8, 13.0]","[63.0, 43.1, 23.0]","[7.0, 3.1, 0.0]", 0.00 
 16 ,"[39.0, 30.6, 23.0]","[18.0, 15.5, 12.0]","[70.0, 44.3, 21.0]","[9.0, 2.9, 0.0]", 0.00 
 17 ,"[40.0, 31.6, 23.0]","[18.0, 15.9, 13.0]","[67.0, 42.1, 20.0]","[9.0, 4.1, 0.0]", 0.00 
 18 ,"[41.0, 31.9, 23.0]","[20.0, 16.5, 12.0]","[73.0, 45.1, 18.0]","[7.0, 2.5, 0.0]", 0.00 
 19 ,"[42.0, 32.5, 24.0]","[18.0, 14.1, 9.0]","[69.0, 37.9, 14.0]","[15.0, 8.0, 0.0]", 0.00 
 20 ,"[41.0, 32.9, 27.0]","[16.0, 14.0, 10.0]","[48.0, 34.0, 16.0]","[17.0, 7.1, 0.0]", 0.00 
 21 ,"[34.0, 29.9, 25.0]","[17.0, 14.4, 10.0]","[58.0, 41.0, 23.0]","[15.0, 7.0, 0.0]", 0.00 
 22 ,"[38.0, 30.0, 24.0]","[18.0, 15.6, 13.0]","[63.0, 44.9, 24.0]","[7.0, 2.9, 0.0]", 0.30 
 23 ,"[38.0, 29.9, 21.0]","[17.0, 13.9, 9.0]","[67.0, 41.9, 17.0]","[13.0, 4.3, 0.0]", 0.00 
 24 ,"[38.0, 31.5, 23.0]","[15.0, 11.6, 7.0]","[62.0, 32.9, 15.0]","[19.0, 10.4, 0.0]", 0.00 
 25 ,"[40.0, 31.9, 23.0]","[14.0, 12.9, 11.0]","[58.0, 33.8, 18.0]","[19.0, 11.4, 6.0]", 0.00 
 26 ,"[39.0, 31.6, 24.0]","[18.0, 14.5, 11.0]","[64.0, 38.8, 18.0]","[7.0, 3.6, 0.0]", 0.00 
 27 ,"[41.0, 31.9, 23.0]","[17.0, 13.8, 8.0]","[68.0, 38.9, 14.0]","[15.0, 5.4, 0.0]", 0.00 
 28 ,"[43.0, 32.6, 22.0]","[20.0, 16.1, 12.0]","[72.0, 42.3, 16.0]","[15.0, 5.4, 0.0]", 0.00 
 29 ,"[43.0, 34.1, 27.0]","[17.0, 12.4, 8.0]","[48.0, 30.4, 12.0]","[15.0, 6.6, 0.0]", 0.00 
 30 ,"[43.0, 34.7, 26.0]","[18.0, 13.3, 9.0]","[56.0, 32.0, 13.0]","[11.0, 5.4, 0.0]", 0.00 
